"fullname","office","position","id","source","document_type","url","patronymic","created_date","first_name","last_name","is_corrected","legalForm","uafirm_reestrCode","person","name","fax_extendedstatus","en_address","beneficial_owner_company_code","fax","location","country","phone","en_name","address","mail","iteration","object_id","mail_extendedstatus","en_name_extendedstatus","phone_extendedstatus","beneficial_owner_company_code_extendedstatus","legalForm_extendedstatus","address_extendedstatus","name_extendedstatus","country_extendedstatus","enName","telephone","reestrCode","email","countryRegistration","declarant","subjectRelation"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Семенович",2018-03-31,"Станіслав","Березкін","FALSE","Товариство з обмеженою відповідальниістю","","1476878331811","ТОВ ""Хайрок""","2","","40878905","","","1","+380522305055","Limited Liability Company ""Highrock""","25006, Кіровоградська обл., м. Кропивницький, вул. Ельворті, 5, каб. 408Б4","","1522422689188","1522422689188","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1476340760455","""ТОНДО-ІНВЕСТ""","1","","37064688","","","1","380564048174","","50007, Дніпропетровська обл., м. Кривий Ріг, проспект Дзержинського, буд. 38, офіс 25","","1476344986314","1476344986314","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1476340760455","""БІЛА ІНТЕГРАЦІЯ""","1","","36948860","","","1","0442284593","","04050, м. Київ, вул. Миколи Пимоненка, буд. 13-Ж, корпус 2","olga260307@mail.ru","1476344622911","1476344622911","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1","""РБО УКРАЇНА""","1","","39544128","","","1","380564922811","","50050, Дніпропетровська обл., вул. Хабаровська, буд. 6, офіс 62","","1476344468620","1476344468620","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1476340760455","""ТОНДО""","1","","31736464","","","1","380564048174","","50007, Дніпропетровська обл., м. Кривий Ріг, проспект Дзержинського, буд. 38, офіс 25","","1476345093318","1476345093318","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1","""КОМПАНІЯ КАМЕЛОТ""",NA,"","33577163","380623349809","","1","380623349804","","83055, м. Донецьк, бульвар Шевченка, буд. 13-А","","1476343847844","1476343847844","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1476340760455","""РБО Україна""","1","","39544128","","","1","380564922811","","50050, Дніпропетровська обл., м. Кривий Ріг, вул. Хабаровська, буд. 6, офіс 62","","1476345186411","1476345186411","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1","""КАПІТАЛ""","1","","31735654","","","1","380564048174","","50007, Дніпропетровська обл., м. Кривий Ріг, проспект Дзержинського, буд. 38, офіс 25","","1476344013982","1476344013982","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1","""ДЗЕО-ІНВЕСТ""","2","","36161887","","","1","380951022808","","49064, Дніпропетровська обл., м. Дніпро, проспект Калініна, буд. 62","","1490798842452","1490798842452","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1","""ТОНДО-ІНВЕСТ""","1","","37064688","","","1","380564048174","","50007, Дніпропетровська обл., м. Кривий Ріг, проспект Дзержинського, буд. 38, офіс 25","","1476344258277","1476344258277","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1476340760455","""ДЗЕО-ІНВЕСТ""","1","","36161887","","","1","380951022808","","49064, Дніпропетровська обл., м. Дніпро, проспект Калініна, буд. 62","","1476344855919","1476344855919","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1476340760455","КАПІТАЛ","1","","31735654","","","1","380564048174","","50007, Дніпропетровська обл., м. Кривий Ріг, проспект Дзержинського, буд. 38, офіс 25","","1476344758651","1476344758651","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1","""БІЛА ІНТЕГРАЦІЯ""","1","","36948860","","","1","0442284593","","04050, м. Київ, вул. Миколи Пимоненка, буд. 13-Ж, корпус 2","1708ok@gmail.com","1476343700496","1476343700496",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Петрович",2018-03-30,"Олексій","Білий","FALSE","Товариство з обмеженою відповідальністю","","1","""ТОНДО""","1","","31736464","","","1","380564048174","","50007, Дніпропетровська обл., м. Кривий Ріг, проспект Дзержинського, буд. 38, офіс 25","","1476344372728","1476344372728","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Миколайович",2018-03-25,"Олександр","Біловол","FALSE","Товариство з обмеженою відповідальністю","","1477653728557","ТОВ ""БАЗІССПЕЦСЕРВІС""",NA,"","31630099","0444905347","","1","0444905347","""BAZISSPETSSERVIS"",LLC","02098, Україна. м. Київ. вул. Березняківська, буд.29","bazis01@ukr.net","1477662019311","1477662019311",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біловол Тетяна Володимирівна","дружина"
"Білозір Оксана Володимирівна","Верховна Рада України ","Народний депутат України","nacp_9e148122-427b-43ba-a3c3-cfc313dba098","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_9e148122-427b-43ba-a3c3-cfc313dba098","Володимирівна",2018-04-07,"Оксана","Білозір","TRUE","Товариство з обмеженою відповідальністю","","1477583032125","Товариство з обмеженою відповідальністю ""СТАР РЕНТАЛ""","1","","41388553","","","1","0634407901","Limited liability company ""STAR RENTAL LLC'""","01021, м. Київ, вул. Кловський узвіз, буд. 7, кв. 41","","1522514533685","1522514533685","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Недзельський Ярослав Романович","син"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Борисович",2018-03-28,"Геннадій","Бобов","FALSE","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","","1477511772358","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""САХАР-ОК""","1","","37397588","","","1","0504690748","no information","08600, КИЇВСЬКА ОБЛАСТЬ, МІСТО ВАСИЛЬКІВ, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, БУДИНОК 5, КВАРТИРА 32","agro_complex@ukr.net","1477559619284","1477559619284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Борисович",2018-03-28,"Геннадій","Бобов","FALSE","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ІМ.ВАТУТІНА","","1","CІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ІМ.ВАТУТІНА","1","","037929906","","","1","0975004053","no information","20245, ЧЕРКАСЬКА ОБЛАСТЬ, ЗВЕНИГОРОДСЬКИЙ РАЙОН, СЕЛО ЮРКІВКА","agro_complex@ukr.net","1477553765561","1477553765561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Борисович",2018-03-28,"Геннадій","Бобов","FALSE","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАГРОСПІЛКА""","1","","30801453","","","1","0442499755","no information","08228, КИЇВСЬКА ОБЛАСТЬ, ВАСИЛЬКІВСЬКИЙ РАЙОН, СЕЛО БЕЗП""ЯТНЕ, ВУЛИЦЯ ВАСИЛЬКІВСЬКА, БУДИНОК 72","agro_complex@ukr.net","1477558393627","1477558393627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
